id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1535322,Wisteria Honeymoon Cottage Sooke BC,8187727,Gail,Sooke,Sooke,48.39252,-123.61752,Entire home/apt,129,2,12,2017-12-28,0.19,2,345
1538085,"Cozy, clean and comfortable retreat in Victoria",219429,Halli,Victoria,Hillside/Quadra,48.44943,-123.35379,Entire home/apt,90,1,1,2017-10-15,0.05,1,0
1593593,Downtown Apartment in the Juliet!,8499788,Curt,Victoria,Downtown,48.42629,-123.3628,Entire home/apt,113,2,37,2018-03-11,0.53,1,0
1615147,Victoria Multi-unit building,8597509,Antonia,Victoria,Rockland,48.42285,-123.34151,Entire home/apt,125,60,0,,,1,145
1625194,Fully Equipped Downtown Condo,7637861,Major,Victoria,Downtown,48.42899,-123.3631,Entire home/apt,109,4,12,2019-04-27,0.20,1,43
1636029,Raylia Cottage Farm Stay,8689202,Michele,Southern Gulf Islands,Southern Gulf Islands,48.84491,-123.27776,Entire home/apt,124,2,121,2019-05-05,2.03,2,299
1656504,Cedar House on the Hill B&B ,8781598,Rita & Manfred,Salt Spring Island,Salt Spring Island,48.83903,-123.49872,Entire home/apt,145,1,151,2019-04-07,2.19,1,279
1672595,"Canada-Victoria, BC Resort 2 Bdrm Condo #1",602654,Rey,Victoria,James Bay,48.42172,-123.38056,Entire home/apt,239,3,62,2019-02-22,0.91,2,0
1672677,"Canada-Victoria, BC Resort 3 Bdrm Condo",602654,Rey,Victoria,James Bay,48.42172,-123.38063,Entire home/apt,270,3,6,2017-03-10,0.09,2,0
1672868,"A Happinest   A cozy, nest- like cabin on SSI, BC!",8855800,Ahappinest,Salt Spring Island,Salt Spring Island,48.8331,-123.50027,Entire home/apt,125,2,259,2019-05-23,3.88,1,258
1683153,Private Studio Apartment Above Gordon's Beach,8731181,Janis,Juan de Fuca,Juan de Fuca,48.37641,-123.83955,Entire home/apt,125,2,107,2018-12-01,1.57,1,337
1717474,COZINESS IS.... Home sweet home,2697862,Brenda,Victoria,James Bay,48.41849,-123.38342,Private room,77,2,71,2019-04-27,1.19,2,214
1720832,Unique Cob Cottage,9071324,Alexis,Southern Gulf Islands,Southern Gulf Islands,48.83109,-123.26071,Entire home/apt,160,2,417,2019-05-21,6.19,1,193
1738396,Beautiful Downtown Loft w/ Parking,5685329,Wes,Victoria,Downtown,48.43079,-123.36634,Entire home/apt,206,3,46,2018-09-17,0.69,1,267
1769556,Comfortable Quiet Room,9020231,Duncan And Cynthia,Victoria,Fairfield,48.41306,-123.34501,Private room,58,2,66,2019-05-19,1.16,1,300
1807413,Upscale Sooke Vacation Rental with Spectacular Views,9472290,Rick,Sooke,Sooke,48.36718,-123.73475,Entire home/apt,129,2,16,2017-10-09,0.24,2,0
